,year,state,level,total_people_by_state_and_level,total_man_by_state_and_level,total_woman_by_state_and_level,total_people_by_state_and_year,total_man_by_state_and_year,total_woman_by_state_and_year,man_percentage_by_state_and_level,woman_percentage_by_state_and_level,rate_level,percentage_by_level_and_total_people_by_state_and_year,mean_by_state_and_level
217,5,24,1,785987,689877,96110,2547912,1831825,716087,87.772,12.228,1,30.848000000000003,28.6
218,5,24,3,12898,9196,3702,2547912,1831825,716087,71.298,28.702,2,0.506,0.542
219,5,24,7,566414,244462,321952,2547912,1831825,716087,43.16,56.84,1,22.230999999999998,23.39
220,5,24,4,274869,268356,6513,2547912,1831825,716087,97.631,2.369,2,10.788,11.08
221,5,24,5,653675,404669,249006,2547912,1831825,716087,61.907,38.093,2,25.655,26.151999999999997
222,5,24,6,96784,71714,25070,2547912,1831825,716087,74.097,25.903,1,3.799,3.855
223,5,24,9,15535,10031,5504,2547912,1831825,716087,64.57,35.43,0,0.61,0.726
224,5,24,8,107238,100358,6880,2547912,1831825,716087,93.584,6.416,2,4.209,4.646
225,5,25,2,12681,12392,289,2973501,2088931,884570,97.721,2.279,2,0.426,0.48
226,5,25,1,987954,864323,123631,2973501,2088931,884570,87.486,12.514,1,33.225,29.305
227,5,25,3,22205,19385,2820,2973501,2088931,884570,87.3,12.7,2,0.747,0.98
228,5,25,7,835113,363074,472039,2973501,2088931,884570,43.476000000000006,56.524,1,28.085,28.925
229,5,25,4,321081,309418,11663,2973501,2088931,884570,96.368,3.632,2,10.798,12.665
230,5,25,5,498356,295652,202704,2973501,2088931,884570,59.325,40.675,1,16.76,16.362000000000002
231,5,25,6,142187,101345,40842,2973501,2088931,884570,71.27600000000002,28.724,1,4.782,5.459
232,5,25,9,26969,16846,10123,2973501,2088931,884570,62.464,37.536,0,0.907,1.178
233,5,25,8,126955,106496,20459,2973501,2088931,884570,83.885,16.115,2,4.27,4.648
234,5,26,2,27337,25991,1346,2440610,1708066,732544,95.076,4.924,2,1.12,1.9269999999999998
235,5,26,1,419210,371584,47626,2440610,1708066,732544,88.639,11.361,2,17.176,17.576
236,5,26,3,26823,24928,1895,2440610,1708066,732544,92.935,7.065,1,1.099,1.028
237,5,26,7,635832,315294,320538,2440610,1708066,732544,49.588,50.412,1,26.052,26.214000000000002
238,5,26,4,357542,347940,9602,2440610,1708066,732544,97.314,2.6860000000000004,1,14.65,13.632
239,5,26,5,686388,394660,291728,2440610,1708066,732544,57.49800000000001,42.502,2,28.124000000000002,28.678
240,5,26,6,128732,96150,32582,2440610,1708066,732544,74.69,25.31,2,5.275,5.047
241,5,26,9,33888,19314,14574,2440610,1708066,732544,56.994,43.006,0,1.389,1.464
242,5,26,8,124858,112205,12653,2440610,1708066,732544,89.866,10.134,1,5.1160000000000005,4.435
243,5,27,2,110445,91784,18661,1968675,1596889,371786,83.104,16.896,2,5.61,6.565
244,5,27,1,722383,701937,20446,1968675,1596889,371786,97.17,2.83,1,36.694,27.438000000000002
245,5,27,3,13431,11684,1747,1968675,1596889,371786,86.993,13.007,2,0.682,0.741
246,5,27,7,476118,234345,241773,1968675,1596889,371786,49.22,50.78,1,24.185,27.811
247,5,27,4,235090,229383,5707,1968675,1596889,371786,97.572,2.428,2,11.942,13.369000000000002
248,5,27,5,191909,143371,48538,1968675,1596889,371786,74.708,25.292,2,9.748,11.908
249,5,27,6,82467,62844,19623,1968675,1596889,371786,76.205,23.795,1,4.189,4.252
